Symbol,Company Name,Industry,Sector
360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,Unknown
3MINDIA,3M India Limited,Diversified,Unknown
AADHARHFC,Aadhar Housing Finance Limited,Housing Finance Company,Unknown
AARTIIND,Aarti Industries Limited,Specialty Chemicals,Unknown
AAVAS,Aavas Financiers Limited,Housing Finance Company,Unknown
ABB,ABB India Limited,Heavy Electrical Equipment,Unknown
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Unknown
ABCAPITAL,Aditya Birla Capital Limited,Investment Company,Unknown
ABDL,Allied Blenders and Distillers Limited,Breweries & Distilleries,Unknown
ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail,Unknown
ABLBL,Aditya Birla Lifestyle Brands Limited,Speciality Retail,Unknown
ABREL,Aditya Birla Real Estate Limited,Residential Commercial Projects,Unknown
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,Unknown
ACC,ACC Limited,Cement & Cement Products,Unknown
ACE,Action Construction Equipment Limited,Construction Vehicles,Unknown
ACMESOLAR,Acme Solar Holdings Limited,Power Generation,Unknown
ACUTAAS,Acutaas Chemicals Limited,Pharmaceuticals,Unknown
ADANIENSOL,Adani Energy Solutions Limited,Power Distribution,Unknown
ADANIENT,Adani Enterprises Limited,Trading - Minerals,Unknown
ADANIGREEN,Adani Green Energy Limited,Power Generation,Unknown
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services,Unknown
ADANIPOWER,Adani Power Limited,Integrated Power Utilities,Unknown
AEGISLOG,Aegis Logistics Limited,Trading - Gas,Unknown
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Storage & Transportation,Unknown
AFCONS,Afcons Infrastructure Limited,Civil Construction,Unknown
AFFLE,Affle 3i Limited,IT Enabled Services,Unknown
AIAENG,AIA Engineering Limited,Castings & Forgings,Unknown
AIIL,Authum Investment & Infrastructure Limited,Non Banking Financial Company (NBFC),Unknown
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Unknown
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Unknown
AMBER,Amber Enterprises India Limited,Household Appliances,Unknown
